KRAJ;MĚSTO;ORIGINÁLNÍ ZÁZNAM;GPS;PATRO / NÁSTUPIŠTĚ /atd.
Hlavní město Praha;Praha 1;WC (5E). Clam - Gallasův palác, Husova 158/20, 110 00 Praha 1;"50°5'11.124"", 14°25'4.031""";
Hlavní město Praha;Praha 1;WC (1E). Divadelní akademie múzických umění - divadlo DISK, Karlova 26, 116 65 Praha 1;"50°5'9.432"", 14°25'2.047""";
Hlavní město Praha;Praha 1;WC (1E). Finanční úřad pro Prahu 1, Štěpánská 619/28, 112 33 Praha 1;"50°4'44.937"", 14°25'32.698""";přízemí
Hlavní město Praha;Praha 1;WC (1E). Magistrát hl. m. Prahy, Nová radnice, Mariánské náměstí 2, 110 00 Praha 1;"50°5'13.591"", 14°25'4.186""";
Hlavní město Praha;Praha 1;WC (1E). Magistrát hl. m. Prahy, Staroměstská radnice s Orlojem, Staroměstské náměstí 1/3, 110 00 Praha 1;"50°5'12.680"", 14°25'12.709""";
Hlavní město Praha;Praha 1;WC (2E). Magistrát hl. m. Prahy, Škodův palác, Jungmannova 35/29, 110 00 Praha 1;"50°4'55.076"", 14°25'20.099""";
Hlavní město Praha;Praha 1;2x Plošina (4E). Ministerstvo dopravy ČR, nábř. L. Svobody 1222/12, 110 15 Praha 1 ;"50°5'36.069"", 14°26'3.717""";
Hlavní město Praha;Praha 1;WC (1E). Nákupní galerie Myslbek, Na Příkopě 19, 21, Ovocný trh 8, 110 00 Praha 1;"50°5'8.675"", 14°25'30.766""";
Hlavní město Praha;Praha 1;WC (3E). Obchodní dům Kotva, Nám. Republiky, 110 00 Praha 1;"50°5'20.746"", 14°25'39.720""";
Hlavní město Praha;Praha 1;WC (1E). Pasáž Slovanský Dům, Na Příkopě 859/22, 110 00 Praha 1 - Nové Město;"50°5'9.000"", 14°25'41.000""";
Hlavní město Praha;Praha 1 – Nové Město;WC (1E). Rehabilitační poliklinika Palackého, Palackého 5, 110 00 Praha 1 – Nové Město;"50°4'52.072"", 14°25'23.258""";
Hlavní město Praha;Praha 1;WC (1E). Stanice metra Můstek A, vestibul Můstek, 110 00 Praha 1;"50°5'0.498"", 14°25'26.3""";
Hlavní město Praha;Praha 1;WC (2E). Stanice metra Můstek B, vestibul Jungmannovo náměstí, 110 00 Praha 1;"50°4'58.866"", 14°25'20.6""";
Hlavní město Praha;Praha 1 - Nové Město;WC (1E). Stanice metra Náměstí Republiky, 110 00 Praha 1 - Nové Město;"50°5'19.084"", 14°25'52.142""";
Hlavní město Praha;Praha 1 - Josefov;WC (1E). Stanice metra Staroměstská, 110 00 Praha 1 - Josefov;"50°5'19.125"", 14°24'58.195""";
Hlavní město Praha;Praha 1 - Josefov;WC (5E). Uměleckoprůmyslové museum v Praze, 17. listopadu 2/2, 110 00 Praha 1 - Josefov;"50°5'23.744"", 14°24'58.730""";
Hlavní město Praha;Praha 1;WC (2E). Univerzita Karlova v Praze - Fakulta sociálních věd, Budova Hollar, Smetanovo nábřeží 6, 110 01 Praha 1;"50°4'56.423"", 14°24'47.895""";Budova Hollar
Hlavní město Praha;Praha 1;WC (1E). Univerzita Karlova v Praze - Pedagogická fakulta, Magdalény Rettigové 47/4, 116 39 Praha 1 ;"50°4'47.002"", 14°25'13.217""";
Hlavní město Praha;Praha 1;WC (1E). Železniční stanice Praha Masarykovo nádraží, Havlíčkova 2, 110 00 Praha 1;"50°5'14.842"", 14°25'57.700""";
Hlavní město Praha;Praha 2;WC (1E). Finanční úřad pro Prahu 2, Vinohradská 2488/49, 120 00 Praha 2;"50°4'38.607"", 14°26'25.99""";přízemí
Hlavní město Praha;Praha 2 - Vinohrady ;WC (1E). Churchill, Italská 2581/67, 120 00 Praha 2 - Vinohrady;"50°5'2.793"", 14°26'22.954""";
Hlavní město Praha;Praha 2;WC (1E). Ministerstvo zdravotnictví, Palackého nám. 4, 120 00 Praha 2;"50°4'22.936"", 14°24'55.314""";
Hlavní město Praha;Praha 2 - Nové Město;WC (1E). Stanice metra I. P. Pavlova, 120 00 Praha 2 - Nové Město;"50°4'31.458"", 14°25'49.364""";
Hlavní město Praha;Praha 2 - Nové Město;WC (1E). Stanice metra Karlovo náměstí, 120 00 Praha 2 - Nové Město;"50°4'29.756"", 14°25'7.819""";
Hlavní město Praha;Praha 2 - Vinohrady ;WC (1E). Stanice metra Náměstí Míru, 120 00 Praha 2 - Vinohrady;"50°4'31.074"", 14°26'15.244""";
Hlavní město Praha;Praha 2;WC (1E). Veřejné WC, Park Havlíčkovy sady - Landhauska, Vinohrady, 120 00 Praha 2;"50°4'8.020"", 14°26'43.798""";
Hlavní město Praha;Praha 2 - Vinohrady ;WC (8E). Železniční stanice Praha hl.n., Wilsonova 300/8, 120 00 Praha 2 - Vinohrady ;"50°4'59.737"", 14°26'6.251""";
Hlavní město Praha;Praha 3;WC (1E). Bytový dům v areálu Auto Jarov, Osiková, 130 00 Praha 3;"50°5'25.204"", 14°29'57.466""";
Hlavní město Praha;Praha 3 - Jarov;WC (1E). Hypermarket Kaufland, V Třešňovce 232/2, 130 00 Praha 3 - Jarov;"50°5'35.756"", 14°29'56.862""";
Hlavní město Praha;Praha 3 - Vinohrady;WC (1E). Stanice metra Jiřího z Poděbrad, 130 00 Praha 3 - Vinohrady;"50°4'38.091"", 14°26'57.04""";
Hlavní město Praha;Praha 4;WC (2E). BB Centrum - budova C, Vyskočilova, 140 00 Praha 4;"50°2'50.633"", 14°27'18.712""";
Hlavní město Praha;Praha 4;WC (1E). Hobby market OBI Praha 4 - Modřany, Lhotecká 446, 143 00 Praha 4;"50°0'57.165"", 14°25'48.109""";
Hlavní město Praha;Praha 4 - Michle;WC (2E). Hypermarket Kaufland, U plynárny 1432/64, 140 00 Praha 4 - Michle;"50°3'21.036"", 14°28'13.405""";
Hlavní město Praha;Praha 4;Plošina (2E). Lávka Brumlovka, Vyskočilova 2, 140 00 Praha 4;"50°2'52.143"", 14°27'18.100""";
Hlavní město Praha;Praha 4;WC (1E). Magistrát hl. m. Prahy, Na Pankráci 1685/17, 19, 140 00 Praha 4 (registr vozidel, registr řidičů, odbor DSC MHMP);"50°3'42.630"", 14°25'35.989""";registr vozidel, registr řidičů, odbor DSC MHMP
Hlavní město Praha;Praha 4;WC (4E). Obchodní centrum Arkády Pankrác, Na Pankráci 86, 140 00 Praha 4;"50°3'3.760"", 14°26'20.833""";
Hlavní město Praha;Praha 4;WC (2E). Obchodní centrum Novo Plaza, Novodvorská 1800/136, 140 00 Praha 4;"50°1'34.543"", 14°25'56.338""";
Hlavní město Praha;Praha 4;WC (14E). Obchodní centrum Westfield Chodov - veřejné WC, Roztylská 2321/19, 148 00 Praha 4;"50°1'55.438"", 14°29'27.561""";veřejné WC
Hlavní město Praha;Praha 4;WC (1E). Obchodní dům Modřany - veřejné WC, pasáž v přízemí, Sofijské nám. 3400/6, 143 00 Praha 4;"50°0'19.576"", 14°25'4.986""";veřejné WC, pasáž v přízemí
Hlavní město Praha;Praha 4;WC (1E). Poliklinika Modřany, Soukalova 3355/3, 143 00 Praha 4 - Modřany;"50°0'19.925"", 14°24'54.166""";
Hlavní město Praha;Praha 4;WC (1E). Stanice metra Budějovická, 140 00 Praha 4;"50°2'40.771"", 14°26'55.529""";
Hlavní město Praha;Praha 4 - Modřany;WC (2E). Úřad Městské části Prahy 12 – Radnice, Generála Šišky 2375/6, 143 00 Praha 4 - Modřany;"50°0'8.322"", 14°24'50.151""";
Hlavní město Praha;Praha 5;WC (1E). Aurum Pacific GC, K Sádkám 158, Lahovice, 150 00 Praha 5;"50°0'15.509"", 14°23'47.944""";
Hlavní město Praha;Praha 5;WC (1E). Hypermarket Makro Cash & Carry Stodůlky, Jeremiášova 1249/7, 155 00 Praha 5;"50°2'29.788"", 14°18'55.302""";
Hlavní město Praha;Praha 5;WC (3E). Krajský úřad Středočeského kraje, Zborovská 11, 150 00 Praha 5;"50°4'30.223"", 14°24'26.946""";
Hlavní město Praha;Praha 5;WC (6E). Nákupní centrum Nový Smíchov, Plzeňská 8, 150 00 Praha 5;"50°4'22.448"", 14°24'7.398""";
Hlavní město Praha;Praha 5;WC (3E). Obchodní centrum Lužiny, Archeologická 2256/1, 155 00 Praha 5;"50°2'38.617"", 14°19'53.586""";
Hlavní město Praha;Praha 5;WC (7E). OC Metropole Zličín, Řevnická 1, 155 21 Praha 5 ;"50°3'14.296"", 14°17'18.286""";
Hlavní město Praha;Praha 5;WC (1E). Poliklinika Kartouzská, Kartouzská 6, Smíchov, 150 00 Praha 5;"50°4'27.411"", 14°24'5.569""";
Hlavní město Praha;Praha 5 - Smíchov;WC (1E). Stanice metra Anděl, 150 00 Praha 5 - Smíchov;"50°4'13.798"", 14°24'12.904""";
Hlavní město Praha;Praha 5;WC (1E). Stanice metra Jinonice, 158 00 Praha 5;"50°3'16.243"", 14°22'14.805""";
Hlavní město Praha;Praha 5;WC (1E). Stanice metra Radlická, 150 00 Praha 5;"50°3'30.265"", 14°23'21.131""";
Hlavní město Praha;Praha 5 - Zličín;WC (1E). Stanice metra Zličín, 155 00 Praha 5 - Zličín;"50°3'16.092"", 14°17'26.039""";
Hlavní město Praha;Praha 5;WC (1E). Univerzita Karlova v Praze - Fakulta sociálních věd, U Kříže 611/3, 158 00 Praha 5 - Jinonice;"50°3'13.798"", 14°22'5.001""";
Hlavní město Praha;Praha 5;WC (4E). Univerzita Karlova v Praze - Fakulta sociálních věd, U Kříže 661/8, 158 00 Praha 5 - Jinonice;"50°3'15.484"", 14°22'6.954""";
Hlavní město Praha;Praha 5 – Radotín;WC (2E). Železniční stanice Praha 5 - Radotín – výpravní budova, Vrážská 43, 153 00 Praha 5 – Radotín;"49°59'9.346"", 14°21'53.01""";výpravní budova
Hlavní město Praha;Praha 6 - Suchdol;WC (2E). Česká zemědělská univerzita v Praze, Kamýcká 129, 165 00 Praha 6 – Suchdol, Fappz pav. A;"50°7'48.109"", 14°22'25.744""";Fappz pav. A
Hlavní město Praha;Praha 6 - Suchdol;WC (5E). Česká zemědělská univerzita v Praze, Kamýcká 129, 165 00 Praha 6 – Suchdol, Fappz pav. B;"50°7'48.109"", 14°22'25.744""";Fappz pav. B
Hlavní město Praha;Praha 6 - Suchdol;WC (2E). Česká zemědělská univerzita v Praze, Kamýcká 129, 165 00 Praha 6 – Suchdol, Fappz pav. C;"50°7'48.109"", 14°22'25.744""";Fappz pav. C
Hlavní město Praha;Praha 6 - Suchdol;WC (1E). Česká zemědělská univerzita v Praze, Kamýcká 129, 165 00 Praha 6 – Suchdol, Fappz pav. Zahradnictví;"50°7'48.109"", 14°22'25.744""";Fappz pav. Zahradnictví
Hlavní město Praha;Praha 6;WC (1E). Hobby market OBI Praha 6 - Ruzyně, Výtvarná 3, 161 00 Praha 6;"50°4'40.905"", 14°18'35.561""";
Hlavní město Praha;Praha 6 - Vypich;WC (2E). Hypermarket Kaufland, Bělohorská 2426/205, 169 00 Praha 6 - Vypich;"50°4'38.723"", 14°20'21.374""";
Hlavní město Praha;Praha 6;WC (1E). Magistrát hl. m. Prahy, Radimova 39, 169 00 Praha 6 - Břevnov (registr vozidel, odbor DSC MHMP);"50°5'13.334"", 14°21'39.157""";(registr vozidel, odbor DSC MHMP)
Hlavní město Praha;Praha 6;WC (2E). Stanice metra Bořislavka, 160 00 Praha 6;"50°5'55.16"", 14°21'49.241""";
Hlavní město Praha;Praha 6 - Dejvice;WC (1E). Stanice metra Dejvická, 160 00 Praha 6 - Dejvice;"50°6'1.835"", 14°23'33.913""";
Hlavní město Praha;Praha 6;WC (2E). Stanice metra Nádraží Veleslavín, 160 00 Praha 6;"50°5'43.679"", 14°20'47.725""";
Hlavní město Praha;Praha 6;WC (1E). Stanice metra Petřiny, výstup k ulici Na Petřinách, 162 00 Praha 6;"50°5'14.303"", 14°20'40.729""";
Hlavní město Praha;Praha 6;WC (5E). Univerzita Karlova v Praze - Fakulta tělesné výchovy a sportu, José Martího 31, 162 52 Praha 6;"50°5'35.253"", 14°20'6.266""";
Hlavní město Praha;Praha 6;WC (2E). Úřad městské části Praha 6, Dr. Zikmunda Wintra 768/20, 160 52 Praha 6;"50°6'6.26"", 14°24'6.019""";
Hlavní město Praha;Praha 6;WC (1E). Základní umělecká škola Blatiny, Španielova 50, 160 00 Praha 6;"50°4'10.218"", 14°18'15.893""";
Hlavní město Praha;Praha 6;WC (2E). Železniční stanice Praha - Dejvice, Václavkova 169/1, 160 00 Praha 6 - Dejvice;"50°5'49.404"", 14°23'56.048""";
Hlavní město Praha;Praha 7;WC (2E). Botanická zahrada hl. m. Prahy, Nádvorní 134, 171 00 Praha 7;"50°7'3.878"", 14°24'54.760""";
Hlavní město Praha;Praha 7;WC (1E). Finanční úřad pro Prahu 6 a 7, nábř. Kpt. Jaroše 1000/7, 170 00 Praha 7;"50°5'49.888"", 14°26'2.428""";přízemí
Hlavní město Praha;Praha 7;WC (1E). Národní technické muzeum, Kostelní 42, 170 00 Praha 7;"50°5'49.999"", 14°25'29.860""";
Hlavní město Praha;Praha 7;WC (1E). Pražská Teplárenská - 1. patro, Partyzánská 7, 170 00 Praha 7;"50°6'31.443"", 14°26'11.101""";1. patro
Hlavní město Praha;Praha 7;WC (2E). Restaurace a studentský klub na Akademii Výtvarných Umění v Praze, U Akademie 172/4, 170 00 Praha 7;"50°6'9.745"", 14°25'31.123""";
Hlavní město Praha;Praha 7 - Holešovice;WC (2E). Stanice metra Nádraží Holešovice, 170 00 Praha 7 - Holešovice;"50°6'32.308"", 14°26'22.419""";
Hlavní město Praha;Praha 7 - Holešovice;WC (1E). Stanice metra Vltavská, 170 00 Praha 7 - Holešovice;"50°5'56.094"", 14°26'18.100""";
Hlavní město Praha;Praha 7 - Holešovice;WC (1E). Železniční stanice Praha – Holešovice, Partyzánská 24, 170 00 Praha 7;"50°6'38.364"", 14°26'22.855""";
Hlavní město Praha;Praha 8;WC (2E). Autobusový terminál Florenc, Pod Výtopnou 13/10, 186 00 Praha 8;"50°5'22.358"", 14°26'22.886""";
Hlavní město Praha;Praha 8;WC (5E). Český úřad zeměměřický a katastrální, Pod sídlištěm 1800/9, 182 11 Praha 8;"50°7'30.049"", 14°27'19.96""";
Hlavní město Praha;Praha 8 - Kobylisy;WC (1E). Hypermarket Kaufland, Střelničná 2270/46, 180 00 Praha 8 - Kobylisy;"50°7'39.064"", 14°28'56.191""";
Hlavní město Praha;Praha 8 - Palmovka;WC (2E). Hypermarket Kaufland, Voctářova 2401/8, 180 00 Praha 8 - Palmovka;"50°6'7.38"", 14°28'6.016""";
Hlavní město Praha;Praha 8;WC (6E). Meteor Centre Office Park, budova D, Sokolovská 100/94, 186 00 Praha 8;"50°5'36.594"", 14°27'8.727""";budova D
Hlavní město Praha;Praha 8 - Troja;WC (6E). Obchodní centrum Krakov, Lodžská 850/6, 181 00 Praha 8 - Troja;"50°7'39.824"", 14°25'2.504""";
Hlavní město Praha;Praha 8 - Palmovka;WC (1E). Stanice metra Palmovka, 180 00 Praha 8 - Palmovka;"50°6'13.865"", 14°28'29.122""";
Hlavní město Praha;Praha 9;WC (9E). CČM – Centrum Černý Most, Chlumecká 6, 198 00 Praha 9;"50°6'28.181"", 14°35'5.136""";
Hlavní město Praha;Praha 9;WC (1E). Čerpací stanice Lukoil, Českobrodská, 190 00 Praha 9 ;"50°4'47.809"", 14°37'44.519""";
Hlavní město Praha;Praha 9 - Horní Počernice;WC (1E). Čerpací stanice Shell Praha - Horní Počernice, Dálnice D11 - 3. km, směr Praha, Olomoucká 193 00 Praha - Horní Počernice;"50°6'34.715"", 14°38'22.844""";
Hlavní město Praha;Praha 9;WC (1E). Hobby market Hornbach Praha 9 - Černý Most, Chlumecká 2398, 198 00 Praha 9;"50°6'41.511"", 14°34'53.980""";
Hlavní město Praha;Praha 9;WC (1E). Hobby market OBI Praha 9 - Prosek, Prosecká 78, 190 00 Praha 9;"50°7'15.910"", 14°30'25.751""";
Hlavní město Praha;Praha 9;WC (1E). Hypermarket Globus, Kostelecká 823, Čakovice, 190 00 Praha 9;"50°9'6.408"", 14°30'24.315""";
Hlavní město Praha;Praha 9 - Jarov;WC (2E). Hypermarket Kaufland Praha - Jarov, V Třešňovce 232/2, 190 00 Praha 9 - Jarov;"50°5'34.177"", 14°29'58.407""";
Hlavní město Praha;Praha 9 - Černý Most;WC (1E). Hypermarket Makro Cash & Carry Černý Most, Chlumecká 2424, 193 00 Praha 9 - Černý Most;"50°6'41.347"", 14°34'39.399""";
Hlavní město Praha;Praha 9;WC (3E). Nákupní centrum Fénix, Freyova 945/35, 190 00 Praha 9 - Vysočany;"50°6'37.040"", 14°30'5.715""";
Hlavní město Praha;Praha 9;WC (5E). O2 Arena, Českomoravská 17, 190 00 Praha 9;"50°6'13.288"", 14°29'36.002""";
Hlavní město Praha;Praha 9;WC (1E). Úřad městské části Praha 9, Sokolovská 324/14, 190 00 Praha 9;"50°6'37.379"", 14°30'0.154""";
Hlavní město Praha;Praha 9;WC (1E). Železniční stanice - Praha Čakovice, Jizerská 78/2, 196 00 Praha - Čakovice;"50°8'56.609"", 14°31'10.572""";
Hlavní město Praha;Praha 9 - Klánovice;WC (1E). Železniční stanice Praha - Klánovice, U Trativodu 91, 190 14 Praha - Klánovice;"50°5'14.295"", 14°39'48.895""";
Hlavní město Praha;Praha 9 – Libeň;WC (1E). Železniční stanice Praha – Libeň, výpravní budova, Českomoravská 316/24, 190 00 Praha 9 – Libeň;"50°6'5.2"", 14°30'6.548""";výpravní budova
Hlavní město Praha;Praha 10;WC (3E). Europark Štěrboholy, Nákupní 389/3, 102 00 Praha 10;"50°4'21.031"", 14°32'31.606""";
Hlavní město Praha;Praha 10;WC (1E). Finanční úřad pro Prahu 10, Petrohradská 6, 101 00 Praha 10;"50°3'48.258"", 14°27'13.523""";1. patro
Hlavní město Praha;Praha 10;WC (1E). Hobby market OBI Praha 10 - Štěrboholy, Nákupní 4, 102 00 Praha 10;"50°4'23.621"", 14°32'40.305""";
Hlavní město Praha;Praha 10 - Vršovice;WC (6E). Hypermarket Tesco Eden, U Slavie 1527/3, 100 00 Praha 10 - Vršovice;"50°4'1.96"", 14°28'5.56""";
Hlavní město Praha;Praha 10 - Strašnice;WC (1E). Hypermarket Tesco Skalka, Přetlucká 3295/50, 100 00 Praha 10 - Strašnice;"50°4'14.704"", 14°30'39.228""";
Hlavní město Praha;Praha 10;WC (2E). Nákupní centrum VIVO! Hostivař, Švehlova 32, 101 00 Praha 10;"50°3'12.914"", 14°31'3.809""";
Hlavní město Praha;Praha 10 - Malešice;WC (3E). Sportovní klub vozíčkářů Praha, Ovčárská 471, 108 00 Praha 10 - Malešice;"50°4'50.786"", 14°30'24.098""";
Hlavní město Praha;Praha 10 - Strašnice;WC (1E). Stanice metra Skalka, 100 00 Praha 10 - Strašnice;"50°4'5.174"", 14°30'27.830""";
Hlavní město Praha;Praha 10 - Strašnice;WC (1E). Železniční stanice Praha - Zahradní Město, Dolínecká 3161/2, 100 00 Praha 10 - Strašnice;"50°3'44.878"", 14°30'15.584""";
Hlavní město Praha;Praha 13;WC (1E). HOMEPARK Zličín - kavárna Starbucks, Skandinávská 15a, 155 00 Praha 13;"50°2'58.912"", 14°17'51.497""";
Hlavní město Praha;Praha 13 - Stodůlky;WC (1E). Obchodní centrum Luka Living rental apartmants & shopping center, Mukařovského 2590/2, 155 00 Praha 13;"50°2'44.841"", 14°19'19.918""";
Hlavní město Praha;Praha 13;WC (1E). Stanice metra Hůrka, 158 00 Praha 13;"50°2'58.995"", 14°20'29.631""";
Hlavní město Praha;Praha 13 - Stodůlky;WC (2E). Stanice metra Luka, 155 00 Praha 13 - Stodůlky;"50°2'43.298"", 14°19'18.237""";
Hlavní město Praha;Praha 13;WC (1E). Stanice metra Lužiny, 155 00 Praha 13;"50°2'40.51"", 14°19'53.307""";
Hlavní město Praha;Praha 13;WC (1E). Stanice metra Nové Butovice, 158 00 Praha 13;"50°3'3.417"", 14°21'8.454""";
Hlavní město Praha;Praha 13 - Stodůlky;WC (1E). Stanice metra Stodůlky, 155 00 Praha 13 - Stodůlky;"50°2'47.953"", 14°18'26.062""";
Hlavní město Praha;Praha 15 Horní Měcholupy;WC (1E). Hypermarket Kaufland, Hornoměcholupská 763, 109 00 Praha 15 Horní Měcholupy;"50°2'40.332"", 14°34'7.028""";
Hlavní město Praha;Praha 15;WC (1E). Poliklinika Petrovice, Ohmova 271, 109 00 Praha 15;"50°2'19.089"", 14°33'42.314""";
Hlavní město Praha;Praha 20;WC (3E). Parkovací dům P+R Černý Most 1, Chlumecká 2398, 198 00 Praha 20;"50°6'43.517"", 14°34'50.196""";
Hlavní město Praha;Praha 22 - Uhříněves;Plošina (3E). Za Lípou 1621, 104 00 Praha 22 - Uhříněves;;
Hlavní město Praha;Praha 22 - Uhříněves;WC (2E). Veřejné WC, Nové náměstí, 104 00 Praha 22 - Uhříněves;;
Hlavní město Praha;Praha 22 - Uhříněves;WC (1E). Železniční stanice Praha - Uhříněves, U Starého nádraží 262, 104 00 Praha 22 - Uhříněves;"50°2'2.726"", 14°35'29.651""";
Středočeský kraj;Bělá pod Bezdězem;WC (1E). Městský úřad Bělá pod Bezdězem, Masarykovo náměstí 90, 294 21 Bělá pod Bezdězem;"50°30'5.756"", 14°48'3.708""";
Středočeský kraj;Benátky nad Jizerou;WC (1E). Čerpací stanice PAP OIL, U Dálnice, 294 71 Benátky nad Jizerou;"50°16'43.096"", 14°49'50.175""";
Středočeský kraj;Benátky nad Jizerou;WC (1E). Klub seniorů, Nám. 17. listopadu, 294 71 Benátky nad Jizerou;"50°17'15.399"", 14°50'15.368""";
Středočeský kraj;Benátky nad Jizerou;WC (1E). Sportovní hala, 294 71 Benátky nad Jizerou;"50°17'25.077"", 14°49'7.564""";
Středočeský kraj;Benátky nad Jizerou;WC (1E). Úřad práce ČR Benátky nad Jizerou, Vaněčkova ul., 294 71 Benátky nad Jizerou;"50°17'31.830"", 14°49'36.570""";
Středočeský kraj;Benátky nad Jizerou;WC (2E). Veřejné WC Na Burse, 294 71 Benátky nad Jizerou;"50°17'5.711"", 14°49'36.681""";
Středočeský kraj;Benátky nad Jizerou;WC (1E). Veřejné WC, Zámek, 294 71 Benátky nad Jizerou;"50°17'27.233"", 14°49'20.618""";
Středočeský kraj;Benátky nad Jizerou;WC (1E). Zimní stadion, Mělnická 35, 294 71 Benátky nad Jizerou;"50°17'24.097"", 14°49'5.531""";
Středočeský kraj;Benešov;WC (1E). Autobusové nádraží – terminál Benešov, Nádražní 2426, 256 01 Benešov;"49°46'46.744"", 14°41'1.758""";
Středočeský kraj;Benešov;WC (1E). Čerpací stanice ČEPRO - EuroOil, Vlašimská 2168, 256 01 Benešov ;"49°46'49.908"", 14°42'11.419""";
Středočeský kraj;Benešov;WC (1E). Čerpací stanice OMV Červené Vršky, 256 01 Benešov ;"49°47'36.712"", 14°40'52.219""";
Středočeský kraj;Benešov;WC (1E). ČSSZ - OSSZ Benešov, Nádražní 2120, 256 01 Benešov ;"49°46'41.426"", 14°41'4.009""";
Středočeský kraj;Benešov;WC (2E). Hypermarket Kaufland, Červené Vršky 2217, 256 01 Benešov ;"49°47'37.720"", 14°40'58.177""";
Středočeský kraj;Benešov;WC (1E). Úřad práce ČR Benešov, Dukelská 2080, 256 01 Benešov ;"49°46'56.694"", 14°41'1.760""";
Středočeský kraj;Benešov;WC (1E). Železniční stanice Benešov, Nádražní 300, 256 01 Benešov ;"49°46'47.982"", 14°40'58.796""";
Středočeský kraj;Beroun;WC (1E). Čerpací stanice ČEPRO  - EuroOil U Veterinárky, Pražská 859, 266 01 Beroun;"49°58'29.544"", 14°6'2.953""";
Středočeský kraj;Beroun;WC (1E). Čerpací stanice OMV, nájezd na D5 směr Plzeň, 266 01 Beroun;"49°57'24.001"", 14°3'43.999""";
Středočeský kraj;Beroun;WC (1E). Čerpací stanice OMV, Plzeňská ul. 266 01 Beroun;"49°57'7.387"", 14°2'50.827""";
Středočeský kraj;Beroun;WC (1E). Čerpací stanice OMV, sjezd z D5, 266 01 Beroun;"49°57'20.999"", 14°3'47.001""";
Středočeský kraj;Beroun;WC (1E). ČSSZ - OSSZ Beroun, Okružní 511/28, 266 01 Beroun;"49°57'57.197"", 14°3'58.427""";
Středočeský kraj;Beroun;WC (1E). Hotel Na Ostrově, Na Ostrově 816, 266 01 Beroun;"49°57'46.192"", 14°4'43.292""";
Středočeský kraj;Beroun;WC (2E). Hypermarket Albert, Plzeňská 396, 267 01 Beroun;"49°57'4.038"", 14°2'31.405""";
Středočeský kraj;Beroun;WC (2E). Hypermarket Kaufland, Obchodní 250, 266 01 Beroun;"49°57'23.846"", 14°3'37.714""";
Středočeský kraj;Beroun;WC (2E). Komunitní centrum, Bezručova 928, 266 01 Beroun;"49°57'59.264"", 14°4'7.611""";
Středočeský kraj;Beroun;WC (1E). Městská knihovna Beroun, U Kasáren 813, 266 01 Beroun;"49°58'1.970"", 14°4'12.893""";
Středočeský kraj;Beroun;WC (2E). Městský úřad Beroun, Husovo nám. 68, 266 01 Beroun;"49°57'51.704"", 14°4'29.690""";
Středočeský kraj;Beroun;WC (1E). Penzion pro seniory, Na Parkáně 111, 266 01 Beroun;"49°57'43.269"", 14°4'36.030""";
Středočeský kraj;Beroun;WC (1E). Úřad práce ČR Beroun, Okružní 26, 266 01 Beroun;"49°57'56.905"", 14°3'59.766""";
Středočeský kraj;Beroun;WC (1E). Úřad práce ČR Beroun, Pod Kaplankou 21, 266 01 Beroun;"49°57'53.186"", 14°4'9.815""";
Středočeský kraj;Beroun;WC (1E). Veřejné WC Konírna, Na příkopě 55, 266 01 Beroun;"49°57'53.380"", 14°4'30.497""";
Středočeský kraj;Beroun;WC (5E). ZŠ (3. ZŠ) Beroun, Wágnerovo náměstí 458/7, 266 01 Beroun;"49°57'58.483"", 14°4'16.695""";
Středočeský kraj;Beroun;WC (1E). Železniční stanice Beroun, U Nádraží 129, 266 01 Beroun;"49°57'27.301"", 14°4'34.446""";
Středočeský kraj;Brandýs nad Labem;WC (1E). Čerpací stanice Benzina, Kostelecká, 250 01 Brandýs nad Labem;"50°11'27.161"", 14°38'48.098""";
Středočeský kraj;Brandýs nad Labem;WC (1E). Čerpací stanice PAP OIL, Pražská ul., 250 01 Brandýs nad Labem;"50°10'26.365"", 14°38'55.467""";
Středočeský kraj;Brandýs nad Labem;WC (2E). Hypermarket Kaufland, Zápská 2600, 250 01 Brandýs nad Labem;"50°10'41.851"", 14°40'7.387""";
Středočeský kraj;Brandýs nad Labem - Stará Boleslav;WC (1E). Městský úřad Brandýs nad Labem - Stará Boleslav, Mariánské nám. 28, 250 02 - Brandýs nad Labem - Stará Boleslav;"50°11'45.801"", 14°40'31.358""";
Středočeský kraj;Brandýs nad Labem;WC (1E). Městský úřad Brandýs nad Labem, Masarykovo nám. 90, 250 01 Brandýs nad Labem;"50°11'10.065"", 14°39'30.978""";
Středočeský kraj;Brandýs nad Labem;WC (1E). Zámek Brandýs nad Labem, Plantáž 8/402, 250 01 Brandýs nad Labem;"50°11'15.338"", 14°39'58.478""";
Středočeský kraj;Březnice;WC (1E). Vyšší odborná škola a Střední odborná škola, Rožmitálská 340, 262 72 Březnice;"49°33'42.221"", 13°56'48.336""";
Středočeský kraj;Čáslav;WC (1E). Hypermarket Kaufland, Jeníkovská 1983, 286 01 Čáslav;"49°54'9.62"", 15°24'12.676""";
Středočeský kraj;Čáslav;WC (1E). Úřad práce ČR Čáslav, nám. J. Žižky z Trocnova 168, 286 01 Čáslav;"49°54'36.873"", 15°23'25.974""";
Středočeský kraj;Čelákovice;WC (1E). Železniční stanice Čelákovice, Masarykova 53, 250 88 Čelákovice;"50°9'29.007"", 14°45'14.352""";
